Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Модуль отопительный электрического конвектора Electrolux серии Air Gate Transformer ECH/AG2-2000 T,Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекционные отопительные модули,НС-1081912,ECH/AG2-2000 T,7390.0,7390.0,5690.3,446,"{'екатеринбург склад': '2', 'ррц Лакинск': '300', 'ррц Костерево (Владимирская обл.)': '1', 'ррц Орехово-Зуево (Московская обл.)': '1', 'ррц Екатеринбург LV NEW': '32', 'фрц Киржач': '110'}"
Конвектор электрический Electrolux Air Gate Digital Inverter ECH/AGI-3000,Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1272208,ECH/AGI-3000,13990.0,13990.0,10912.2,ожидается поставка,{}
Вентилятор настольный Electrolux ETF-108W,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы бытовые,НС-1602083,ETF-108W,3990.0,3990.0,3192.0,ожидается поставка,{}
Мультикомплекс сушильный Electrolux EDM-35L,Electrolux,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Бытовые осушители воздуха",НС-1300692,EDM-35L,25990.0,25990.0,21052.0,ожидается поставка,{}
Колонка газовая Electrolux GWH 11 ProInverter,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные газовые,НС-1139049,GWH 11 PRO Inverter,26790.0,26790.0,21968.0,ожидается поставка,{}
"Комплект Electrolux EACU-60H/UP3/N3 сплит-системы, напольно-потолочного типа",Electrolux,Кондиционирование/Полупромышленные сплит-системы,НС-1235782,EACU-60H/UP3/N3,248000.0,248000.0,108234.0,3,"{'ррц Костерево (Владимирская обл.)': '1', 'ррц Екатеринбург LV NEW': '2'}"
"Комплект Electrolux EACC-36H/UP4-DC/N8 инверторной сплит-системы, кассетного типа",Electrolux,Кондиционирование/Полупромышленные сплит-системы,НС-1483673,EACC-36H/UP4-DC/N8,288300.0,288300.0,175863.0,51,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '50'}"
Блок внешний Electrolux EACO/I-18 FMI-2/N8_ERP Free match сплит-системы,Electrolux,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1194443,EACO/I-18 FMI-2/N8_ERP,110300.0,110300.0,73901.0,102,"{'ррц Петушки (Владимирская обл.)': '36', 'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '63'}"
Блок внутренний средненапорный канального типа EACD/I-96MWAN1 IN,Electrolux,Вентиляция и кондиционирование зданий/Фреоновые системы кондиционирования/Канальные кондиционеры большой мощности,НС-1352368,EACD/I-96MWAN1 IN,309573.01,,130020.67,2,{'фрц Киржач': '2'}
"Мат Electrolux EEFM 2-180-2,5 (комплект теплого пола c терморегулятором)",Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1432021,"EEFM 2-180-2,5 комплект",11990.0,11990.0,6834.0,5,{'ррц Екатеринбург LV NEW': '5'}
Фильтр для очистки воды Electrolux AquaModule SF,Electrolux,Отопление и водоснабжение/Водоочистка/Фильтры под мойку,НС-1279463,AquaModule SF,4290.0,4290.0,3432.0,более 500,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '11', 'фрц Киржач': 'более 500'}"
Электрокамин Electrolux EFP/W-1100ULS,Electrolux,Тепловое оборудование/Электрические камины/Электрические камины настенного типа,НС-1052292,EFP/W-1100ULS,23990.0,22800.0,17512.7,2,{'ррц Екатеринбург LV NEW': '2'}
Водонагреватель Electrolux EWH 100 SmartInverter,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1237355,EWH 100 SmartInverter,36590.0,36590.0,29272.0,ожидается поставка,{}
Кабель Electrolux ETC 2-17-100 (комплект теплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательный кабель для теплого пола,НС-1073700,ETC 2-17-100 комплект,4785.0,4785.0,2727.0,ожидается поставка,{}
Очаг электрический Electrolux Infinity EFP/P-1600ULS,Electrolux,Тепловое оборудование/Электрические камины/Электрические камины портального типа,НС-1350753,EFP/P-1600ULS,55990.0,53200.0,40872.7,117,"{'ррц Екатеринбург LV NEW': '30', 'фрц Киржач': '87'}"
